"player","team","bye","ffb","sleeper"
"Christian McCaffrey","CAR",13,1,2
"Jonathan Taylor","IND",14,2,1
"Austin Ekeler","LAC",8,3,4
"Derrick Henry","TEN",6,4,3
"Dalvin Cook","MIN",7,5,5
"Alvin Kamara","NO",14,6,10
"Joe Mixon","CIN",10,7,7
"Najee Harris","PIT",9,8,6
"Ezekiel Elliott","DAL",9,9,15
"Aaron Jones","GB",14,10,12
"Leonard Fournette","TB",11,11,14
"D'Andre Swift","DET",6,12,8
"James Conner","ARI",13,13,16
"Nick Chubb","CLE",9,14,9
"Javonte Williams","DEN",9,15,13
"Saquon Barkley","NYG",9,16,11
"David Montgomery","CHI",14,17,18
"Josh Jacobs","LV",6,18,21
"Breece Hall","NYJ",10,19,19
"Cordarrelle Patterson","ATL",14,20,31
"Travis Etienne Jr.","JAX",11,21,20
"Chase Edmonds","MIA",11,22,34
"Cam Akers","LAR",7,23,17
"Elijah Mitchell","SF",9,24,24
"Clyde Edwards-Helaire","KC",8,25,26
"Kareem Hunt","CLE",9,26,29
"AJ Dillon","GB",14,27,25
"J.K. Dobbins","BAL",10,28,23
"Miles Sanders","PHI",7,29,27
"Damien Harris","NE",10,30,28
"Tony Pollard","DAL",9,31,32
"Antonio Gibson","WAS",14,32,22
"Devin Singletary","BUF",7,33,33
"Rashaad Penny","SEA",11,34,35
"Melvin Gordon III","DEN",9,35,37
"Rhamondre Stevenson","NE",10,36,38
"Dameon Pierce","HOU",6,37,39
"Darrell Henderson Jr.","LAR",7,39,45
"Jamaal Williams","DET",6,40,54
"J.D. McKissic","WAS",14,41,55
"Michael Carter","NYJ",10,42,40
"Rachaad White","TB",11,43,46
"Mark Ingram II","NO",14,44,57
"Kenneth Gainwell","PHI",7,45,48
"Nyheim Hines","IND",14,46,44
"Gus Edwards","BAL",10,47,61
"James Cook","BUF",7,48,36
"Eno Benjamin","ARI",13,49,64
"Damien Williams","ATL",14,51,NULL
"James Robinson","JAX",11,52,41
"Alexander Mattison","MIN",7,53,42
"Isaiah Spiller","LAC",8,54,43
"Khalil Herbert","CHI",14,55,52
"Raheem Mostert","MIA",11,56,56
"Rex Burkhead","HOU",6,57,152
"Matt Breida","NYG",9,58,79
"Jerick McKinnon","KC",8,59,74
"Tyler Allgeier","ATL",14,60,47
"Boston Scott","PHI",7,62,78
"Darrel Williams","ARI",13,63,63
"Marlon Mack","HOU",6,64,51
"Tyrion Davis-Price","SF",9,65,60
"Pierre Strong Jr.","NE",10,66,142
"Mike Davis","BAL",10,67,76
"Sony Michel","MIA",11,68,67
"Joshua Kelley","LAC",8,69,90
"Hassan Haskins","TEN",6,70,65
"Chris Evans","CIN",10,71,66
"Zamir White","LV",6,72,59
"Jeff Wilson Jr.","SF",9,73,72
"Trey Sermon","SF",9,74,68
"Benny Snell Jr.","PIT",9,75,143
"Tyler Badie","BAL",10,76,77
"Isiah Pacheco","KC",8,77,53
"D'Ernest Johnson","CLE",9,78,69
