Player,Team,Bye,Sleeper
Jonathan Taylor,IND,14,1
Austin Ekeler,LAC,8,4
Christian McCaffrey,CAR,13,2
Derrick Henry,TEN,6,3
Dalvin Cook,MIN,7,5
Najee Harris,PIT,9,6
Joe Mixon,CIN,10,7
D'Andre Swift,DET,6,8
Nick Chubb,CLE,9,9
Aaron Jones,GB,14,12
Javonte Williams,DEN,9,13
Alvin Kamara,NO,14,10
Saquon Barkley,NYG,9,11
Leonard Fournette,TB,11,14
Cam Akers,LAR,7,17
James Conner,ARI,13,16
Ezekiel Elliott,DAL,9,15
David Montgomery,CHI,14,18
Breece Hall,NYJ,10,19
Elijah Mitchell,SF,9,24
Travis Etienne Jr.,JAC,11,20
Josh Jacobs,LV,6,21
AJ Dillon,GB,14,25
Damien Harris,NE,10,28
Clyde Edwards-Helaire,KC,8,26
Antonio Gibson,WAS,14,22
J.K. Dobbins,BAL,10,23
Devin Singletary,BUF,7,33
Miles Sanders,PHI,7,27
Rashaad Penny,SEA,11,35
Cordarrelle Patterson,ATL,14,31
Chase Edmonds,MIA,11,34
Kareem Hunt,CLE,9,29
Tony Pollard,DAL,9,32
Rhamondre Stevenson,NE,10,38
Ken Walker III,SEA,11,30
Melvin Gordon III,DEN,9,37
Brian Robinson Jr.,WAS,14,49
James Cook,BUF,7,36
Michael Carter,NYJ,10,40
Ronald Jones II,KC,8,50
Darrell Henderson Jr.,LAR,7,45
Alexander Mattison,MIN,7,42
James Robinson,JAC,11,41
Dameon Pierce,HOU,6,39
Isaiah Spiller,LAC,8,43
Nyheim Hines,IND,14,44
Rachaad White,TB,11,46
Marlon Mack,HOU,6,51
Kenneth Gainwell,PHI,7,48
Raheem Mostert,MIA,11,56
Isiah Pacheco,KC,8,53
J.D. McKissic,WAS,14,55
Sony Michel,MIA,11,67
Khalil Herbert,CHI,14,52
Jamaal Williams,DET,6,54
Mark Ingram II,NO,14,57
Darrel Williams,ARI,13,63
Tyler Allgeier,ATL,14,47
Gus Edwards,BAL,10,61
D'Onta Foreman,CAR,13,62
Zamir White,LV,6,59
Kenyan Drake,,,70
Hassan Haskins,TEN,6,65
Jeff Wilson Jr.,SF,9,72
Myles Gaskin,MIA,11,80
Tyrion Davis-Price,SF,9,60
D'Ernest Johnson,CLE,9,69
Damien Williams,ATL,14,
Dontrell Hilliard,TEN,6,73
Ameer Abdullah,LV,6,102
Kyren Williams,LAR,7,151
Boston Scott,PHI,7,78
Keaontay Ingram,ARI,13,71
Mike Davis,BAL,10,76
Tyler Badie,BAL,10,77
Samaje Perine,CIN,10,75
Matt Breida,NYG,9,79
Trey Sermon,SF,9,68
Ke'Shawn Vaughn,TB,11,
Phillip Lindsay,IND,14,
Abram Smith,NO,14,
Tony Jones Jr.,NO,14,
Pierre Strong Jr.,NE,10,142
Anthony McFarland Jr.,PIT,9,146
Chuba Hubbard,CAR,13,58
Duke Johnson Jr.,BUF,7,
Snoop Conner,JAC,11,148
David Johnson,,,126
Jerrion Ealy,KC,8,
Chris Evans,CIN,10,66
Eno Benjamin,ARI,13,64
Zack Moss,BUF,7,133
Joshua Kelley,LAC,8,90
Jerick McKinnon,KC,8,74
Jake Funk,LAR,7,91
Devontae Booker,,,153
Devonta Freeman,,,
Jordan Howard,,,109
Latavius Murray,,,135
Jaret Patterson,WAS,14,
Rex Burkhead,HOU,6,152
Wayne Gallman Jr.,,,104
Giovani Bernard,TB,11,138
Brandon Bolden,LV,6,120
Derrick Gore,,,
Tevin Coleman,NYJ,10,116
Ty Johnson,NYJ,10,145
Raheem Blackshear,BUF,7,
Benny Snell Jr.,PIT,9,143
DeeJay Dallas,SEA,11,106
Qadree Ollison,ATL,14,
Ty Montgomery,NE,10,97
Kene Nwangwu,MIN,7,147
Travis Homer,SEA,11,127
Justice Hill,BAL,10,130
Kyle Juszczyk,SF,9,
Jordan Mason,SF,9,137
Jaylen Warren,PIT,9,89
