Player,Team,Bye,ESPN
Cooper Kupp,LAR,7,1
Justin Jefferson,MIN,7,2
Ja'Marr Chase,CIN,10,3
Davante Adams,LV,6,4
Stefon Diggs,BUF,7,6
Deebo Samuel,SF,9,5
Tyreek Hill,MIA,11,7
CeeDee Lamb,DAL,9,8
Mike Evans,TB,11,10
Keenan Allen,LAC,8,9
A.J. Brown,PHI,7,13
Tee Higgins,CIN,10,11
Michael Pittman Jr.,IND,14,12
Diontae Johnson,PIT,9,16
Jaylen Waddle,MIA,11,18
DJ Moore,CAR,13,14
Terry McLaurin,WAS,14,15
DK Metcalf,SEA,11,19
Mike Williams,LAC,8,17
Brandin Cooks,HOU,6,20
Chris Godwin,TB,11,26
Amon-Ra St. Brown,DET,6,24
Courtland Sutton,DEN,9,23
Marquise Brown,ARI,13,22
Amari Cooper,CLE,9,29
Darnell Mooney,CHI,14,25
Jerry Jeudy,DEN,9,21
Adam Thielen,MIN,7,31
Allen Robinson II,LAR,7,30
Gabriel Davis,BUF,7,27
Hunter Renfrow,LV,6,32
Michael Thomas,NO,14,28
Elijah Moore,NYJ,10,38
JuJu Smith-Schuster,KC,8,33
DeVonta Smith,PHI,7,35
DeAndre Hopkins,ARI,13,40
Tyler Lockett,SEA,11,36
Rashod Bateman,BAL,10,34
Brandon Aiyuk,SF,9,42
Drake London,ATL,14,37
Robert Woods,TEN,6,47
Christian Kirk,JAC,11,43
Chase Claypool,PIT,9,44
Allen Lazard,GB,14,39
Chris Olave,NO,14,45
Kadarius Toney,NYG,9,41
Treylon Burks,TEN,6,53
Russell Gage,TB,11,54
Garrett Wilson,NYJ,10,46
Tyler Boyd,CIN,10,50
DJ Chark Jr.,DET,6,59
Jakobi Meyers,NE,10,49
Skyy Moore,KC,8,51
Marquez Valdes-Scantling,KC,8,48
George Pickens,PIT,9,55
DeVante Parker,NE,10,61
Jarvis Landry,NO,14,56
Kenny Golladay,NYG,9,52
Mecole Hardman,KC,8,64
Michael Gallup,DAL,9,67
Rondale Moore,ARI,13,66
Julio Jones,TB,11,58
Christian Watson,GB,14,70
Jameson Williams,DET,6,71
Jahan Dotson,WAS,14,57
Robbie Anderson,CAR,13,62
Marvin Jones Jr.,JAC,11,60
Romeo Doubs,GB,14,68
Jalen Tolbert,DAL,9,65
Joshua Palmer,LAC,8,63
Corey Davis,NYJ,10,
Sammy Watkins,GB,14,73
Odell Beckham Jr.,,,69
Van Jefferson,LAR,7,
Isaiah McKenzie,BUF,7,
Nico Collins,HOU,6,72
Alec Pierce,IND,14,
K.J. Osborn,MIN,7,
Kendrick Bourne,NE,10,
A.J. Green,ARI,13,
Jamison Crowder,BUF,7,
Wan'Dale Robinson,NYG,9,
Marquez Callaway,NO,14,
David Bell,CLE,9,
Curtis Samuel,WAS,14,
Donovan Peoples-Jones,CLE,9,
Laviska Shenault Jr.,JAC,11,
Parris Campbell,IND,14,
Amari Rodgers,GB,14,
Randall Cobb,GB,14,
KJ Hamler,DEN,9,
Braxton Berrios,NYJ,10,
William Fuller V,,,
Quez Watkins,PHI,7,
Zay Jones,JAC,11,
Devin Duvernay,BAL,10,
Ty Montgomery,NE,10,
Olamide Zaccheaus,ATL,14,
Cedrick Wilson Jr.,MIA,11,
Terrace Marshall Jr.,CAR,13,
Byron Pringle,CHI,14,
Justyn Ross,KC,8,
Velus Jones Jr.,CHI,14,
Jalen Guyton,LAC,8,
Sterling Shepard,NYG,9,
James Washington,DAL,9,
Kyle Philips,TEN,6,
Demarcus Robinson,BAL,10,
Nelson Agholor,NE,10,
Quintez Cephus,DET,6,
Calvin Austin III,PIT,9,
Danny Gray,SF,9,
Tyquan Thornton,NE,10,
Josh Reynolds,DET,6,
Rashard Higgins,CAR,13,
KaVontae Turpin,DAL,9,
Antonio Brown,,,
Jauan Jennings,SF,9,
Khalil Shakir,BUF,7,
Cam Sims,WAS,14,
Jaelon Darden,TB,11,
N'Keal Harry,CHI,14,
Josh Gordon,KC,8,
Jalen Nailor,MIN,7,
James Proche II,BAL,10,
Jody Fortson,KC,8,
Jake Kumerow,BUF,7,
Emmanuel Sanders,,,
Marquise Goodwin,SEA,11,
Cole Beasley,,,
Zach Pascal,PHI,7,
T.Y. Hilton,,,
Bryan Edwards,ATL,14,
Tre'Quan Smith,NO,14,
Kalif Raymond,DET,6,
Equanimeous St. Brown,CHI,14,
Nick Westbrook-Ikhine,TEN,6,
Breshad Perriman,TB,11,
Deonte Harty,NO,14,
Darius Slayton,NYG,9,
Tutu Atwell,LAR,7,
Lynn Bowden Jr.,MIA,11,
Freddie Swain,SEA,11,
Chris Conley,HOU,6,
John Metchie III,HOU,6,
