"player","team","bye","ffb","sleeper"
"Cooper Kupp","LAR",7,1,1
"Justin Jefferson","MIN",7,2,2
"Ja'Marr Chase","CIN",10,3,3
"Stefon Diggs","BUF",7,4,6
"Davante Adams","LV",6,5,4
"Deebo Samuel","SF",9,6,5
"CeeDee Lamb","DAL",9,7,8
"Mike Evans","TB",11,8,10
"Mike Williams","LAC",8,9,17
"Michael Pittman Jr.","IND",14,10,12
"Tyreek Hill","MIA",11,11,7
"Tee Higgins","CIN",10,12,11
"Courtland Sutton","DEN",9,13,23
"DJ Moore","CAR",13,14,14
"A.J. Brown","PHI",7,15,13
"Keenan Allen","LAC",8,16,9
"Brandin Cooks","HOU",6,17,20
"Marquise Brown","ARI",13,18,22
"Jaylen Waddle","MIA",11,19,18
"Amon-Ra St. Brown","DET",6,20,24
"Allen Robinson II","LAR",7,21,30
"Diontae Johnson","PIT",9,22,16
"Darnell Mooney","CHI",14,23,25
"Adam Thielen","MIN",7,24,31
"Jerry Jeudy","DEN",9,25,21
"Hunter Renfrow","LV",6,26,32
"Terry McLaurin","WAS",14,27,15
"DK Metcalf","SEA",11,28,19
"Rashod Bateman","BAL",10,29,34
"Christian Kirk","JAX",11,30,43
"Elijah Moore","NYJ",10,31,38
"JuJu Smith-Schuster","KC",8,32,33
"Amari Cooper","CLE",9,33,29
"Robert Woods","TEN",6,34,47
"Michael Thomas","NO",14,35,28
"DeVonta Smith","PHI",7,36,35
"Allen Lazard","GB",14,38,39
"Drake London","ATL",14,39,37
"Chris Godwin","TB",11,40,26
"Brandon Aiyuk","SF",9,41,42
"Tyler Lockett","SEA",11,42,36
"Chris Olave","NO",14,43,45
"Kadarius Toney","NYG",9,44,41
"DeVante Parker","NE",10,45,61
"Garrett Wilson","NYJ",10,46,46
"Treylon Burks","TEN",6,47,53
"Marquez Valdes-Scantling","KC",8,48,48
"Chase Claypool","PIT",9,49,44
"Marvin Jones Jr.","JAX",11,50,60
"Tyler Boyd","CIN",10,51,50
"Julio Jones","TB",11,52,58
"K.J. Osborn","MIN",7,53,NULL
"Michael Gallup","DAL",9,54,67
"Jakobi Meyers","NE",10,55,49
"Kendrick Bourne","NE",10,56,NULL
"Kenny Golladay","NYG",9,57,52
"Jahan Dotson","WAS",14,58,57
"Randall Cobb","GB",14,59,NULL
"Wan'Dale Robinson","NYG",9,60,NULL
"Russell Gage","TB",11,61,54
"Rondale Moore","ARI",13,62,66
"DeAndre Hopkins","ARI",13,63,40
"Robbie Anderson","CAR",13,64,62
"KJ Hamler","DEN",9,65,NULL
"Donovan Peoples-Jones","CLE",9,66,NULL
"Jameson Williams","DET",6,67,71
"Corey Davis","NYJ",10,68,NULL
"Van Jefferson","LAR",7,69,NULL
"Jalen Tolbert","DAL",9,71,65
"Mecole Hardman","KC",8,72,64
"Curtis Samuel","WAS",14,73,NULL
"Joshua Palmer","LAC",8,74,63
"Cedrick Wilson Jr.","MIA",11,75,NULL
"Skyy Moore","KC",8,76,51
"Jarvis Landry","NO",14,77,56
"Nico Collins","HOU",6,78,72
"Devin Duvernay","BAL",10,79,NULL
"A.J. Green","ARI",13,80,NULL
"Alec Pierce","IND",14,81,NULL
"George Pickens","PIT",9,82,55
"Parris Campbell","IND",14,83,NULL
"Zay Jones","JAX",11,84,NULL
"Sammy Watkins","GB",14,85,73
"Nick Westbrook-Ikhine","TEN",6,86,NULL
"Bryan Edwards","ATL",14,87,NULL
"Terrace Marshall Jr.","CAR",13,88,NULL
"Jamison Crowder","BUF",7,89,NULL
"Quez Watkins","PHI",7,90,NULL
"N'Keal Harry","CHI",14,91,NULL
"Isaiah McKenzie","BUF",7,92,NULL
"Romeo Doubs","GB",14,93,68
"Christian Watson","GB",14,94,70
"David Bell","CLE",9,95,NULL
"Olamide Zaccheaus","ATL",14,96,NULL
"Byron Pringle","CHI",14,97,NULL
"Deonte Harty","NO",14,98,NULL
"Laviska Shenault Jr.","JAX",11,99,NULL
"Velus Jones Jr.","CHI",14,100,NULL
"Nelson Agholor","NE",10,101,NULL
"Tyquan Thornton","NE",10,103,NULL
"Calvin Austin III","PIT",9,104,NULL
"Sterling Shepard","NYG",9,105,NULL
"Tutu Atwell","LAR",7,106,NULL
"James Washington","DAL",9,107,NULL
"John Metchie III","HOU",6,109,NULL
