Player,Team,Bye,Sleeper
Cooper Kupp,LAR,7,1
Justin Jefferson,MIN,7,2
Ja'Marr Chase,CIN,10,3
Davante Adams,LV,6,4
Stefon Diggs,BUF,7,5
Deebo Samuel,SF,9,8
CeeDee Lamb,DAL,9,6
Tyreek Hill,MIA,11,7
Mike Evans,TB,11,9
A.J. Brown,PHI,7,10
Tee Higgins,CIN,10,12
Keenan Allen,LAC,8,11
Michael Pittman Jr.,IND,14,13
Jaylen Waddle,MIA,11,17
DJ Moore,CAR,13,16
Diontae Johnson,PIT,9,14
Terry McLaurin,WAS,14,15
Mike Williams,LAC,8,19
DK Metcalf,SEA,11,18
Courtland Sutton,DEN,9,20
Amon-Ra St. Brown,DET,6,28
Brandin Cooks,HOU,6,25
Marquise Brown,ARI,13,23
Allen Robinson II,LAR,7,22
Jerry Jeudy,DEN,9,21
Gabriel Davis,BUF,7,32
Amari Cooper,CLE,9,24
Chris Godwin,TB,11,26
JuJu Smith-Schuster,KC,8,30
Darnell Mooney,CHI,14,31
Michael Thomas,NO,14,27
Adam Thielen,MIN,7,29
Elijah Moore,NYJ,10,37
Hunter Renfrow,LV,6,38
Rashod Bateman,BAL,10,33
DeVonta Smith,PHI,7,36
Brandon Aiyuk,SF,9,40
Tyler Lockett,SEA,11,43
DeAndre Hopkins,ARI,13,34
Drake London,ATL,14,35
Christian Kirk,JAC,11,45
Robert Woods,TEN,6,44
Allen Lazard,GB,14,41
Russell Gage,TB,11,53
Chase Claypool,PIT,9,47
Kadarius Toney,NYG,9,49
Chris Olave,NO,14,42
Garrett Wilson,NYJ,10,46
Treylon Burks,TEN,6,39
Jarvis Landry,NO,14,57
Kenny Golladay,NYG,9,61
Tyler Boyd,CIN,10,51
Mecole Hardman,KC,8,67
Marquez Valdes-Scantling,KC,8,50
George Pickens,PIT,9,52
DJ Chark Jr.,DET,6,65
Rondale Moore,ARI,13,58
Jakobi Meyers,NE,10,64
DeVante Parker,NE,10,59
Julio Jones,TB,11,54
Jalen Tolbert,DAL,9,66
Skyy Moore,KC,8,48
Jahan Dotson,WAS,14,60
Odell Beckham Jr.,,,74
Sammy Watkins,GB,14,72
Jameson Williams,DET,6,63
Christian Watson,GB,14,55
Romeo Doubs,GB,14,62
Corey Davis,NYJ,10,88
Van Jefferson,LAR,7,77
Joshua Palmer,LAC,8,76
Isaiah McKenzie,BUF,7,69
Robbie Anderson,CAR,13,78
Nico Collins,HOU,6,71
Marvin Jones Jr.,JAC,11,80
Michael Gallup,DAL,9,56
Jamison Crowder,BUF,7,85
K.J. Osborn,MIN,7,70
Alec Pierce,IND,14,68
Curtis Samuel,WAS,14,83
Donovan Peoples-Jones,CLE,9,82
Wan'Dale Robinson,NYG,9,73
William Fuller V,,,93
David Bell,CLE,9,79
Devin Duvernay,BAL,10,89
Laviska Shenault Jr.,JAC,11,96
Cedrick Wilson Jr.,MIA,11,
Olamide Zaccheaus,ATL,14,
Marquez Callaway,NO,14,
Terrace Marshall Jr.,CAR,13,94
KJ Hamler,DEN,9,75
Sterling Shepard,NYG,9,
Tyquan Thornton,NE,10,92
Justyn Ross,KC,8,
Jalen Guyton,LAC,8,
Amari Rodgers,GB,14,222
James Washington,DAL,9,
Kyle Philips,TEN,6,198
Demarcus Robinson,BAL,10,
A.J. Green,ARI,13,84
Calvin Austin III,PIT,9,
Danny Gray,SF,9,209
Kendrick Bourne,NE,10,87
Velus Jones Jr.,CHI,14,210
Josh Reynolds,DET,6,
Rashard Higgins,CAR,13,163
KaVontae Turpin,DAL,9,117
Antonio Brown,,,202
Jauan Jennings,SF,9,
Byron Pringle,CHI,14,
Parris Campbell,IND,14,81
Cam Sims,WAS,14,
Jaelon Darden,TB,11,224
N'Keal Harry,CHI,14,179
Randall Cobb,GB,14,91
Josh Gordon,KC,8,194
Khalil Shakir,BUF,7,216
Jalen Nailor,MIN,7,137
Jody Fortson,KC,8,
James Proche II,BAL,10,215
Jake Kumerow,BUF,7,
Cole Beasley,,,223
Emmanuel Sanders,,,
Marquise Goodwin,SEA,11,116
Nelson Agholor,NE,10,206
Zach Pascal,PHI,7,
Zay Jones,JAC,11,90
T.Y. Hilton,,,187
Quez Watkins,PHI,7,
Tre'Quan Smith,NO,14,195
Braxton Berrios,NYJ,10,
Bryan Edwards,ATL,14,97
Kalif Raymond,DET,6,188
Equanimeous St. Brown,CHI,14,205
Nick Westbrook-Ikhine,TEN,6,213
Breshad Perriman,TB,11,
Deonte Harty,NO,14,211
Darius Slayton,NYG,9,
Dyami Brown,WAS,14,
Tutu Atwell,LAR,7,
Lynn Bowden Jr.,MIA,11,
Dee Eskridge,SEA,11,
Freddie Swain,SEA,11,
Chris Conley,HOU,6,191
John Metchie III,HOU,6,95
